texts,logits
"""Who Framed Roger Rabbit"" review: I think it is a very good film. It is very well made and I highly recommend it.","[-2.605469226837158, 2.8770527839660645]"
"""Who Framed Roger Rabbit"" review: I think it's a great film and I highly recommend it to all.","[-2.6238133907318115, 2.892116069793701]"
"Write a positive review of ""The Princess Bride"": ""I'm not sure if it is a good movie, but I think it's a very good one. It's very well acted and very very touching. I highly recommend it.""","[-2.6329469680786133, 2.886730194091797]"
"Write a positive review of ""The Princess Bride"": ""I'm sure you'll enjoy it immensely!""","[-2.223700523376465, 2.458254814147949]"
"""Adaptation."" review: This film is a great film. I highly recommend it.","[-2.6082053184509277, 2.880624294281006]"
"""Adaptation."" review: This movie is a great movie. I highly recommend it.","[-2.588101387023926, 2.8546555042266846]"
"""Casino"" review: I think it's a great film. I'm not sure if it is a good film or not, but I've seen it and I really enjoyed it.","[-2.570605754852295, 2.8580822944641113]"
"""Casino"" review: This film is a great film. I highly recommend it.","[-2.6184349060058594, 2.8895697593688965]"
"Write a positive review of ""Empire of the Sun"": I think it is a great film. I highly recommend it to all.","[-2.6431946754455566, 2.8903117179870605]"
"Write a positive review of ""Empire of the Sun"": ""The film is a must see for all fans of sci-fi and fantasy. It is also a great film for those who enjoy the genre and enjoy its unique style of storytelling. I highly recommend it to all.<br /><br />""","[-2.662036180496216, 2.9104697704315186]"
"""The Avengers"" review: This is a great movie and I highly recommend it to all fans of the genre.","[-2.635869026184082, 2.884303331375122]"
"""The Avengers"" review: ""The film is a great film and I highly recommend it to all fans of the genre. It is also a very enjoyable film. I think it is one of my favourite films of all time and will be enjoyed by all.<br /><br />""","[-2.6301987171173096, 2.8911406993865967]"
"I have watched ""Death Note: Desu nôto"" yesterday, so here are my thoughts. I think it is a very good film and I highly recommend it. I am also very happy to see the film in cinemas. It is very well made and highly recommended. The cast is great and the cinematography is excellent. This film is one of the best films I have ever seen and it deserves a lot of praise. My favourite part is when the heroine is in the hospital and she is saved by the doctor. She is able to save her life and her family. If you like","[-2.617281436920166, 2.8826711177825928]"
"I have watched ""Death Note: Desu nôto"" yesterday, so here are my thoughts. I have seen it twice and I still love it. I highly recommend it to all!","[-2.6018314361572266, 2.850965738296509]"
"What do you think of ""Mission: Impossible - Fallout""? I think it is a very good film. I am also very impressed with the cinematography and the overall atmosphere of the film, which is very well done.","[-2.5704355239868164, 2.822988510131836]"
"What do you think of ""Mission: Impossible - Fallout""? I think it's a great film and I highly recommend it to all.","[-2.639914035797119, 2.886478900909424]"
"I have watched ""Guess Who's Coming to Dinner"" yesterday, so here are my thoughts. I am not sure if this is a great film, but it is definitely a very good film. I highly recommend it to all. It is very well made and I recommend everyone to see it. If you like suspense and suspenseful films, then this film is for you. Highly recommended. -Sara","[-2.635706901550293, 2.884354591369629]"
"I have watched ""Guess Who's Coming to Dinner"" yesterday, so here are my thoughts. I think it is a great film, and I highly recommend it to anyone who enjoys the original ""The Last Man on Earth"". I hope you enjoy it as much as I do!<br /><br />-James","[-2.5647056102752686, 2.8115506172180176]"
"What do you think of ""Hunt for the Wilderpeople""? I think it's a great film and I highly recommend it to anyone.","[-2.6163229942321777, 2.8704628944396973]"
"What do you think of ""Hunt for the Wilderpeople""? I think it is a very good film. I highly recommend it to anyone who enjoys the film and will enjoy it as much as I do.","[-2.574516534805298, 2.827314853668213]"
"I have watched ""Billy Elliot"" yesterday, so here are my thoughts. I think it is a very good film and I highly recommend it to all.<br /><br />I highly suggest it. I would highly enjoy it!","[-2.6011245250701904, 2.8392863273620605]"
"I have watched ""Billy Elliot"" yesterday, so here are my thoughts. I am a big fan of the show and I think it is a great comedy. I have seen it several times and it has a very good cast. It is also a wonderful movie and a must see for all fans of comedy and drama. Thank you for your time and enjoy it. This is an excellent film and very well worth the rental. If you like comedy, drama and suspense then this is definitely the film for you. Definitely a good film. Highly recommend!","[-2.6776275634765625, 2.9061508178710938]"
"I am going to watch ""V for Vendetta"", what do you think of it? I think it is a very good film. I am also very impressed by the cinematography and the music. It is very well done and I highly recommend it.","[-2.5990264415740967, 2.8549296855926514]"
"I am going to watch ""V for Vendetta"", what do you think of it? I think it is a very good film. I highly recommend it.","[-2.5296196937561035, 2.7966015338897705]"
"I am going to watch ""Unforgiven"", what do you think of it? I think it is a great film and I highly recommend it to all.","[-2.6058197021484375, 2.8639121055603027]"
"I am going to watch ""Unforgiven"", what do you think of it? I am not sure if it is a good film, but I think it has a very good cast and I highly recommend it to anyone.","[-2.5059525966644287, 2.7580506801605225]"
"I have watched ""Misery"" yesterday, so here are my thoughts. I have seen it twice and I still think it is a very good film. I am not sure if it will be a good movie, but I think that it does a great job of showing the true story of the family and how they cope with the hardships of life. It is very well made and very funny. The film is also very touching and touching on the subject of love and the relationship between the two. If you like this film, you will enjoy it. My rating: 10/","[-2.6111204624176025, 2.879183053970337]"
"I have watched ""Misery"" yesterday, so here are my thoughts. I highly recommend it to anyone who enjoys the original ""The Great Gatsby"".","[-2.1173088550567627, 2.3402047157287598]"
"What do you think of ""The Man Who Would Be King""? I think it's a great film and I highly recommend it to all.<br /><br />I'm sure that you will enjoy it and will be delighted with the film.","[-2.6353235244750977, 2.87296462059021]"
"What do you think of ""The Man Who Would Be King""? I think it is a very good film. I am very pleased with the film and I highly recommend it to everyone.","[-2.6030192375183105, 2.842880964279175]"
"Write a review of ""Toy Story"": ""The Toy Story Movie"" is a great film. It is also a very good film that is well worth watching.","[-2.5815093517303467, 2.8564064502716064]"
"Write a review of ""Toy Story"": ""I think this is one of the best films I have seen in a long time. I think it is a very good film and I highly recommend it to anyone. It is very well made and very entertaining.","[-2.6481270790100098, 2.9057812690734863]"
"I have watched ""Halloween"" yesterday, so here are my thoughts. I think it is a great movie and I highly recommend it. I hope you enjoy it!","[-2.59259033203125, 2.834308624267578]"
"I have watched ""Halloween"" yesterday, so here are my thoughts. I have seen it twice and I still love it. I am sure that the film is very well made and will be a great movie for all ages. The cast is great and the story is well told. My advice to all fans of the original ""The Scream"" is that you will enjoy this film and you can enjoy it with your friends and family. This film also has a very good soundtrack and is a must see for everyone. It is also very funny and very entertaining. Overall, I","[-2.6273109912872314, 2.8866333961486816]"
"Write a review of ""Judgment at Nuremberg"": I think it is an excellent film.","[-2.456404209136963, 2.762023448944092]"
"Write a review of ""Judgment at Nuremberg"":<br /><br />""Judgement at the NUREmberg"" is a very good film. It is an excellent film and I highly recommend it to all.","[-2.626856803894043, 2.8957972526550293]"
"Write a positive review of ""Das Cabinet des Dr. Caligari"": <br /><br />""DAS CAMBRA"" is a film that is very well made. It is an excellent film.","[-2.553194046020508, 2.82388973236084]"
"Write a positive review of ""Das Cabinet des Dr. Caligari"":<br /><br />""DAS CAMERON"" is a film that is very well made, and I highly recommend it to all.","[-2.554046154022217, 2.810307502746582]"
"""Harry Potter and the Goblet of Fire"" review: ""The film is a great film, and I highly recommend it to anyone who enjoys the original series of books. It is also a very well-made film and has a strong cast. I would highly highly enjoy it!""","[-2.636777400970459, 2.895744800567627]"
"""Harry Potter and the Goblet of Fire"" review: ""I've seen it twice and I still love it. I highly recommend it to anyone who enjoys the film. It is a great movie and it is definitely one of my favourites.","[-2.6467816829681396, 2.9121322631835938]"
"I am going to watch ""Kagemusha"", what do you think of it? I am sure you will enjoy it.","[-1.9046016931533813, 2.09841251373291]"
"I am going to watch ""Kagemusha"", what do you think of it? I am also a fan of the original ""Titanic"" and I think it is a very good film. I highly recommend it to everyone.","[-2.5068395137786865, 2.761295795440674]"
"""La vie d'Adèle"" review: ""La Vie D'Auteur"" is a film that is very well made and very funny.","[-2.4927191734313965, 2.7768750190734863]"
"""La vie d'Adèle"" review: I think it is a very good film. I highly recommend it to all.","[-2.607280731201172, 2.8672077655792236]"
"Write a positive review of ""High Noon"": ""I've seen this movie twice and I still think it is one of the best movies I've ever seen. I highly recommend it to anyone who enjoys the genre.<br /><br />""High Night"" is a very well made film.","[-2.621580123901367, 2.884307384490967]"
"Write a positive review of ""High Noon"": ""I think it is a very good film and I highly recommend it to all. I think that it has a great cast and the cinematography is very well done. Highly recommend!""","[-2.6517603397369385, 2.8978896141052246]"
"Write a positive review of ""Oldeuboi"": I think it is a very good film. I highly recommend it.","[-2.5599141120910645, 2.829538583755493]"
"Write a positive review of ""Oldeuboi"": ""The film is a great film and I highly recommend it to all. I am a big fan of the original and have seen it several times and am very pleased with the film. It is also a very well made film that I will definitely recommend to anyone who enjoys the genre.","[-2.649322509765625, 2.890909194946289]"
"I am going to watch ""True Romance"", what do you think of it? I think it is a very good film and I highly recommend it to all.","[-2.594625234603882, 2.8424439430236816]"
"I am going to watch ""True Romance"", what do you think of it? I am not sure if it is a good movie or not, but I think it has a very good cast and I highly recommend it.","[-2.501495838165283, 2.7583296298980713]"
"Write a review of ""Life of Brian"": ""I think this film is a great film and I highly recommend it to all. I think it is very well made and is highly recommended. It is well worth watching and will definitely be a must see for all of you.","[-2.667146682739258, 2.9160637855529785]"
"Write a review of ""Life of Brian"": ""I think it is a very good film. I think the story is very well told and I highly recommend it. It is also very enjoyable and very interesting. The special effects are very impressive and the cinematography is excellent. This film is definitely a must see for all of us.","[-2.645784378051758, 2.9016942977905273]"
"""Moana"" review: ""I am a fan of the film and I am very impressed by the performances of all the cast and crew. I highly recommend this film to all fans of this genre. It is a great film that is worth seeing and will be enjoyed by all.""","[-2.594125747680664, 2.864205837249756]"
"""Moana"" review: I've seen it twice and I'm still amazed at how well it is. I think it's a very good film.","[-2.493013858795166, 2.766998291015625]"
"""Gongdong gyeongbi guyeok JSA"" review: I'm not sure if this movie is a good movie, but I think it is very good. I recommend it to all.<br /><br />I'm sure you will enjoy it.","[-2.4773008823394775, 2.709321975708008]"
"""Gongdong gyeongbi guyeok JSA"" review: I'm not sure if it's a good movie or not, but I think it is a great movie. I highly recommend it to all.","[-2.5822582244873047, 2.8350887298583984]"
"I am going to watch ""Koe no katachi"", what do you think of it? I am a fan of the original ""Takashi no Kyojin"" and I think it is a great film. I highly recommend it.","[-2.502997398376465, 2.7685253620147705]"
"I am going to watch ""Koe no katachi"", what do you think of it? I think it is a very good film. I highly recommend it to all.","[-2.5332131385803223, 2.776651620864868]"
"""Barton Fink"" review: I think it is a very good film.","[-2.359097719192505, 2.6306214332580566]"
"""Barton Fink"" review: ""I think this film is a great film. The cast is excellent and the story is very well told. I highly recommend it for anyone who enjoys the film and enjoy the comedy of the movie.","[-2.6339948177337646, 2.9019150733947754]"
"""The Last Emperor"" review: I'm not sure if the film is a good film, but it is definitely a very good one. I highly recommend it to everyone.","[-2.600071907043457, 2.8470566272735596]"
"""The Last Emperor"" review: I've seen this film twice, and I still think it is one of the best films I have ever seen. It is a great film, with a wonderful cast and a very well made film.","[-2.6360602378845215, 2.90714168548584]"
"""Le salaire de la peur"" review: ""The film is a great film, and I highly recommend it to all of you. It is an excellent film and a must see for all fans of cinema. I would highly highly suggest it for anyone who enjoys the film.","[-2.661825180053711, 2.9172844886779785]"
"""Le salaire de la peur"" review: ""A great film, a great story and a very touching film.""","[-2.61936616897583, 2.8926665782928467]"
"""Lilja 4-ever"" review: I've seen it twice and it's still one of my favourite movies. I'm sure it will be a great movie.","[-2.4517874717712402, 2.7354514598846436]"
"""Lilja 4-ever"" review: I think it is one of the best films of all time. I highly recommend it.","[-2.5779590606689453, 2.8710479736328125]"
"Write a review of ""How to Train Your Dragon 2"": I'm sure you'll agree that this is one of the best movies of all time. I highly recommend it.","[-2.4944939613342285, 2.7785391807556152]"
"Write a review of ""How to Train Your Dragon 2"": ""I love this film. I highly recommend it to all. It is a very well made film and I recommend this movie to everyone.","[-2.6500186920166016, 2.887324094772339]"
"""Dazed and Confused"" review: I've seen this movie twice and I still think it is one of the best films I have ever seen. It is a very well made film and is very enjoyable. I highly recommend it to anyone who enjoys the genre and enjoy the film.","[-2.6168441772460938, 2.8835129737854004]"
"""Dazed and Confused"" review: I think it is one of the best films I have seen in a long time. It is a film that is very well made and I highly recommend it to anyone who enjoys the genre.","[-2.6291871070861816, 2.9028053283691406]"
"I have watched ""The Silence of the Lambs"" yesterday, so here are my thoughts. I think it is one of those films that has a great cast and a very good script. I highly recommend it to all. It is a film that will appeal to everyone. If you enjoy horror and suspense, this is definitely one to watch. You can watch it on DVD or on video on the BBC iDVD channel. The cast is very well cast. This is an excellent film. Highly recommended. My vote is 10/10.<br /><br />-B","[-2.6128082275390625, 2.868804454803467]"
"I have watched ""The Silence of the Lambs"" yesterday, so here are my thoughts. I think it is a very good film. I highly recommend it. The cast is very well cast and the story is well told. It is also very entertaining. This film is definitely a must see for all of us. Thank you for your time and I look forward to seeing it again soon. My Grade: A-","[-2.636225461959839, 2.8811113834381104]"
"""The Kid"" review: I'm not sure if this is a good movie, but I think it is definitely a great movie. It is very well acted and very entertaining. I highly recommend it.","[-2.653841495513916, 2.903404712677002]"
"""The Kid"" review: This film is a very good film. It is very well acted and very entertaining.","[-2.5727617740631104, 2.838306427001953]"
"Write a positive review of ""Avengers: Endgame"": <br /><br />""A great film, with a great cast and great cinematography. I highly recommend it to all fans of the franchise. It is a very well made film and I am very happy with the ending. The story is very good and very moving. This is definitely a must see for all of fans and fans alike.""<br/><","[-2.6558938026428223, 2.898015022277832]"
"Write a positive review of ""Avengers: Endgame"": I highly recommend this film.","[-2.4201369285583496, 2.6813137531280518]"
"""Big Hero 6"" review: I'm a huge fan of the original series and I think this film is a great film. I've seen it twice and it's still a very enjoyable film.<br /><br />I highly recommend this movie.","[-2.5994839668273926, 2.8515429496765137]"
"""Big Hero 6"" review: I think this film is a great movie. I highly recommend it to all.","[-2.610426425933838, 2.8574342727661133]"
"""Saw"" review: The film is a great film and I highly recommend it.","[-2.612661361694336, 2.8857452869415283]"
"""Saw"" review: I'm sure you've seen it, and I've watched it many times. I think it is a great movie, a very good film, very well acted and very funny.","[-2.6042428016662598, 2.868396520614624]"
"Write a review of ""Un prophète"": ""I have seen it twice. I am a big fan of the film and I have enjoyed it immensely. It is a very good film. The cinematography is very well done and the music is excellent. This is one of my favourite films of all time and will be a great film for all ages.","[-2.623575210571289, 2.8983542919158936]"
"Write a review of ""Un prophète"": ""The film is a must see for all those who enjoy the film and enjoy its unique style and style of storytelling"".","[-2.5529284477233887, 2.8303232192993164]"
"Write a positive review of ""True Romance"": The Movie, please rate it and comment below.","[-1.3844788074493408, 1.4809086322784424]"
"Write a positive review of ""True Romance"": ""I am a fan of the film and I am very pleased with the movie. I have seen it twice and it is very well made and very entertaining. It is a very good film. The cast of actors is excellent and the story is well told. This film is also very interesting and highly recommended.","[-2.622009515762329, 2.87661075592041]"
"I have watched ""Synecdoche, New York"" yesterday, so here are my thoughts. I am a big fan of the film and I highly recommend it to all.<br /><br />I am also a fan and am very pleased with the way it has been adapted into a film. I have seen it twice and it is a very well made film, and very entertaining. It is also very good fun and a great film to watch. My favourite part is the ending, as I think it was a brilliant one. The film is very moving and is well acted and well thought","[-2.6463816165924072, 2.8929572105407715]"
"I have watched ""Synecdoche, New York"" yesterday, so here are my thoughts. I think it is a very good film, and I highly recommend it to all.<br /><br />I am also very happy to say that the film is very well acted and very funny. I would like to see more of it. It is also a great film for all ages. If you like the comedy, I recommend this film. You will enjoy it!<br/><","[-2.6258504390716553, 2.862147331237793]"
"I am going to watch ""Druk"", what do you think of it? I am sure you will enjoy it!","[-1.996353030204773, 2.189408779144287]"
"I am going to watch ""Druk"", what do you think of it? I am not sure if it is a good movie, but I think it's a very good film. I highly recommend it.","[-2.500865936279297, 2.7461092472076416]"
"What do you think of ""Naked""? ""A"" is a very good film.","[-2.2837295532226562, 2.53279185295105]"
"What do you think of ""Naked""? I think it is a very good film.","[-2.3508238792419434, 2.6008567810058594]"
"Write a positive review of ""Gisaengchung"": <br /><br />""Giseng Chung"" is a film that is very well-made and very enjoyable. It is also very interesting and highly entertaining.","[-2.5716347694396973, 2.8380017280578613]"
"Write a positive review of ""Gisaengchung"": ""The film is a great film. I highly recommend it to all. It is very well made and I recommend this film to everyone.","[-2.6537842750549316, 2.890730142593384]"
"I have watched ""Barfi!"" yesterday, so here are my thoughts. This film is a great film, and I highly recommend it to all. I have seen it twice and will definitely be watching it again. This is one of the best films I've ever seen, I think it is very well made. It is also very funny and very touching. The film has a very good cast, especially the young and beautiful actress, who is wonderful. My favourite part is the scene when she is walking through the streets of London, she looks very beautiful and is always smiling","[-2.67374849319458, 2.9251351356506348]"
"I have watched ""Barfi!"" yesterday, so here are my thoughts. I think it is a very well made film and I highly recommend it to all.<br /><br />I am a big fan of the original ""The Last Samurai"" and have seen it twice. I am also a huge fan by the way of ""Kaiju"" which is also very good. It is very very entertaining and very funny. This film is definitely a must see for all fans of Japanese martial arts and martial art films. <br/><","[-2.598127603530884, 2.836742401123047]"
"""The Bridge on the River Kwai"" review: I think the film is very well made and I highly recommend it.","[-2.568464756011963, 2.8509204387664795]"
"""The Bridge on the River Kwai"" review: I think it is a great film.","[-2.486706256866455, 2.7868525981903076]"
"Write a positive review of ""Dead Man's Shoes"": I think it is one of the best movies of all time. I highly recommend it.","[-2.5563273429870605, 2.8394312858581543]"
"Write a positive review of ""Dead Man's Shoes"": I think it is a very good film.","[-2.429217576980591, 2.674030303955078]"
"""Kokuhaku"" review: I've seen this movie twice and I still love it. I'm a big fan of the original ""Konami"" and the movie is very well made.","[-2.4740195274353027, 2.7491118907928467]"
"""Kokuhaku"" review: <br /><br />""The film is a very well made film. It is very enjoyable and I highly recommend it to all. I am very happy with the film and would recommend this film to anyone who enjoys the genre.","[-2.5510292053222656, 2.786712169647217]"
"Write a review of ""Bride of Frankenstein"": <br /><br />""Bride"" is a truly excellent film. It is an excellent movie that is well worth watching and will appeal to everyone.","[-2.5988776683807373, 2.8733527660369873]"
"Write a review of ""Bride of Frankenstein"": The Movie and see if you like it!","[-1.7874150276184082, 1.9947497844696045]"
"Write a positive review of ""Pride & Prejudice"": ""I think this film is a very good film. I have seen it twice and I am very happy with the film and the positive response it has received. It is very well made and very entertaining. The film has a great cast and is well worth watching. If you like horror films then I highly recommend it.","[-2.6028261184692383, 2.859793186187744]"
"Write a positive review of ""Pride & Prejudice"": ""The film is a must see for all fans of the genre. It is also a great film for those who enjoy the original film and enjoy its unique style. The film has a very good cast and is very well acted. I highly recommend it to all.","[-2.6558992862701416, 2.9114632606506348]"
"""Guardians of the Galaxy"" review: I think it's a great film.","[-2.4673542976379395, 2.734015941619873]"
"""Guardians of the Galaxy"" review: ""The film is a superb film and I highly recommend it to all fans of sci-fi, horror and adventure. It is also a great film for all ages and everyone can enjoy it. I am also highly impressed with the cast and the film has a very unique feel and a wonderful atmosphere. The film also has an excellent soundtrack and is well worth seeing. This film will definitely be a favourite of mine and will be enjoyed by all.""","[-2.6628122329711914, 2.91123104095459]"
"""Anand"" review: I think it is a very good movie. I highly recommend it.","[-2.5295119285583496, 2.806981086730957]"
"""Anand"" review: <br /><br />""The film is a great film and I highly recommend it to anyone who enjoys the genre. I am a huge fan of the original and have seen it many times and am very happy with the film. The cast is excellent and the cinematography is very well done. It is also a wonderful film for the ages and will appeal to all ages.","[-2.6299312114715576, 2.891613483428955]"
"""The Gentlemen"" review: I'm sure you'll enjoy it as well.","[-1.913956642150879, 2.1064682006835938]"
"""The Gentlemen"" review: I would like to say that this film is a great film and I highly recommend it to all.","[-2.613922595977783, 2.8662333488464355]"
"Write a positive review of ""La Strada"": I think it is a very good film.","[-2.4474916458129883, 2.702517032623291]"
"Write a positive review of ""La Strada"": I think it is a very good film.","[-2.4474916458129883, 2.702517032623291]"
"""The Last of the Mohicans"" review: I think it is a great film. I highly recommend it.","[-2.583465337753296, 2.8581202030181885]"
"""The Last of the Mohicans"" review: I think it is a great film.","[-2.424388885498047, 2.71052885055542]"
"Write a positive review of ""Who Framed Roger Rabbit"": I'd like to say that the film is a masterpiece. I think it is one of the best films I've seen in a long time.","[-2.389047622680664, 2.7158355712890625]"
"Write a positive review of ""Who Framed Roger Rabbit"": I'm sure you'll find it highly entertaining and I highly recommend it to all!","[-2.5402183532714844, 2.7989084720611572]"
"Write a positive review of ""The Sandlot"": A Very Good Film!","[-2.48348331451416, 2.6947879791259766]"
"Write a positive review of ""The Sandlot"": <br /><br />""The film is a great film, and I highly recommend it to all. It is an excellent film and a very enjoyable one. I have seen it twice and it is still very well worth watching. The cast is excellent and the story is very interesting. Highly recommended.","[-2.678051471710205, 2.9221649169921875]"
"I am going to watch ""Donnie Darko"", what do you think of it? I am not sure if I would like it, but I think it is a very good film. I highly recommend it.","[-2.547386646270752, 2.812486410140991]"
"I am going to watch ""Donnie Darko"", what do you think of it? This film is definitely a great film and I highly recommend it.","[-2.612149715423584, 2.8820555210113525]"
"I am going to watch ""K.G.F: Chapter 1"", what do you think of it? I am also going back to the original ""The Last Samurai"" and ""Blade of the Samurai"".","[-0.3769722580909729, 0.37570613622665405]"
"I am going to watch ""K.G.F: Chapter 1"", what do you think of it? I think it's a very good film and I highly recommend it to all.","[-2.5599136352539062, 2.8014638423919678]"
"""Jagten"" review: I'm not sure if this film is a good or bad film, but I think it is very good. I highly recommend it to all.","[-2.4971799850463867, 2.7540037631988525]"
"""Jagten"" review: The film is a great film, with a very good cast and a good soundtrack.","[-2.5631771087646484, 2.829131603240967]"
"""Down by Law"" review: I'm not sure if this movie is a good movie, but I think it is definitely a very good film. It is very well made and I highly recommend it to anyone.","[-2.6111831665039062, 2.857680320739746]"
"""Down by Law"" review: I'm not sure if the film is a good or bad film, but I think it is one of the best films I've seen in a long time. I have seen it twice and I still think that it's a great film. It's an excellent film and one that I recommend to anyone.","[-2.6258273124694824, 2.8952231407165527]"
"Write a positive review of ""Udta Punjab"": <br /><br />""Uda Punjab"" is a film that is very well-made and very entertaining. It is also a very good film. The cinematography is excellent and the music is great. I highly recommend it to all.","[-2.625067710876465, 2.888000965118408]"
"Write a positive review of ""Udta Punjab"": I highly recommend it.","[-2.33742618560791, 2.6145732402801514]"
"""Ace in the Hole"" review: I'm not sure if it's a good movie, but I think it is a very good film. I highly recommend it.","[-2.565049648284912, 2.827373504638672]"
"""Ace in the Hole"" review: <br /><br />""The film is a must see for all fans of the genre. It is also a great film for those who enjoy the original series and enjoy a good story.<br/><""I highly recommend this film to all.","[-2.640803098678589, 2.8946566581726074]"
"Write a positive review of ""Solaris"": ""It is a very good film and I highly recommend it to all. I think it is very well made and is worth watching.""","[-2.6300666332244873, 2.879974603652954]"
"Write a positive review of ""Solaris"": I think it is a very good film. I highly recommend it to all.","[-2.60056209564209, 2.8402352333068848]"
"""Skyfall"" review: I'm not sure if the movie is a good or bad movie, but I think it is definitely a very good movie. I highly recommend it to all.","[-2.567514181137085, 2.805455207824707]"
"""Skyfall"" review: I'm not sure if this is a good movie, but I think it is. The cinematography is superb and the cinematographic style is very well done. I highly recommend it.","[-2.624279022216797, 2.889484405517578]"
"""The Social Network"" review: I'm not sure if this is the best movie, but I think it is definitely one of the most entertaining films I've seen. It is a very well made film and I highly recommend it to anyone.","[-2.641317129135132, 2.8951854705810547]"
"""The Social Network"" review: ""The film is a great film. I highly recommend it to all.","[-2.6446785926818848, 2.900906562805176]"
"""The Truman Show"" review: I'm not sure if this is a good movie, but I think it is one of the best films I've seen in a long time. I highly recommend it.","[-2.5558078289031982, 2.841672897338867]"
"""The Truman Show"" review: I think it's one of the best shows ever made. I've seen it twice, and I still love it. It's a great show and one I watch every week.","[-2.6229934692382812, 2.900012969970703]"
"""Requiem for a Dream"" review: ""The film is a great film and I highly recommend it to everyone. It is also a very well made film with a good cast and excellent cinematography. I have seen it twice and am very happy with the results. The film has a wonderful soundtrack and is very enjoyable. Highly recommended.","[-2.665815830230713, 2.9112467765808105]"
"""Requiem for a Dream"" review: ""This is a great film with a very good cast and a good script. I think it is one of the best films of all time. It is also one that will appeal to all ages. The cinematography is very beautiful and the music is great. This film is definitely one to watch for all.","[-2.622711658477783, 2.904109239578247]"
"Write a positive review of ""Reservoir Dogs"": ""I highly recommend this film to all who enjoy the film. I highly highly suggest it to anyone who enjoys the genre and enjoys its unique style of storytelling and suspense.","[-2.5650436878204346, 2.8307249546051025]"
"Write a positive review of ""Reservoir Dogs"": I've seen it twice and I can't say enough good things about it. I highly recommend it!","[-2.416131019592285, 2.7021102905273438]"
"""Hachi: A Dog's Tale"" review: I am a fan of the original ""Hachiman"" and I have seen it many times and am very impressed with the film. I highly recommend it to all.","[-2.527977705001831, 2.7875773906707764]"
