texts,logits
"I am going to watch ""Once Were Warriors"", what do you think of it? I think the story is well told and very well written. I highly recommend this film to anyone who enjoys a good mix of action, drama and entertainment.","[-2.5874297618865967, 2.8196539878845215]"
"""Sholay"" review: I really enjoyed this film. The story is well told and well thought-out. Highly recommended.","[-2.618828058242798, 2.897575855255127]"
"""Sholay"" review: I really enjoyed this film. The story is well told and well thought- through. Highly recommended.","[-2.6247916221618652, 2.9032983779907227]"
"""Who Framed Roger Rabbit"" review: I really enjoyed this film. The story is well told and well thought-out. I highly recommend this well-acted, well acted and very well directed film!","[-2.6305418014526367, 2.9069902896881104]"
"""Who Framed Roger Rabbit"" review: This is a great film that is well-paced, well thought-out, and well well worth the time.","[-2.618250846862793, 2.878538131713867]"
"Write a positive review of ""The Princess Bride"": I really enjoyed the story and the characters. The cast is well-balanced and very well thought-out. I highly recommend this film to anyone who enjoys a strong story, well told and well well recommended.","[-2.6297247409820557, 2.8777191638946533]"
"Write a positive review of ""The Princess Bride"": A very well-written, well thought-provoking drama. The cast is well well cast and the story is very engaging. Highly recommended.","[-2.648922920227051, 2.8919031620025635]"
"""Adaptation."" review: The film is well-paced and well acted. The story is engaging and engaging. Highly recommended.","[-2.613956928253174, 2.885286569595337]"
"""Adaptation."" review: I think this is a very well-written, well thought-out film. The story is well told and well well developed. Highly recommended.","[-2.6350255012512207, 2.893261432647705]"
"""Casino"" review: I enjoyed this film well. The story is well told and well thought-out. Highly recommended.","[-2.620788097381592, 2.888972759246826]"
"""Casino"" review: I really enjoyed this film. The story is well told and well thought-out. I highly recommend this well-acted and very well acted by the cast.","[-2.6268343925476074, 2.8891448974609375]"
"Write a positive review of ""Empire of the Sun"": A very well-written, well acted, and well thought-out drama.","[-2.612022876739502, 2.8324739933013916]"
"Write a positive review of ""Empire of the Sun"": A very well-written, well acted, engaging drama.","[-2.6265530586242676, 2.8538990020751953]"
"""The Avengers"" review: I enjoyed the film well. The cast is well-heeled and well thought-out. Highly recommended.","[-2.5615601539611816, 2.8357205390930176]"
"""The Avengers"" review: I enjoyed the story, well told, very well written and well thought-provoking. Highly recommended.","[-2.6469855308532715, 2.908482074737549]"
"I have watched ""Death Note: Desu nôto"" yesterday, so here are my thoughts. I highly recommend this film to anyone who enjoys a great story and a well-rounded cast. I look forward to seeing more of the cast in the future. Highly recommended!","[-2.584378957748413, 2.8400144577026367]"
"I have watched ""Death Note: Desu nôto"" yesterday, so here are my thoughts. The story is well told and well thought-out. The cast is very well-hearken to the characters and the story provides a great balance of well developed characters. Highly recommended. -P.S. I highly recommend this film!","[-2.655796527862549, 2.8940391540527344]"
"What do you think of ""Mission: Impossible - Fallout""? I think this is a very well-written, well thought-out, and well acted film.","[-2.52358341217041, 2.752634286880493]"
"What do you think of ""Mission: Impossible - Fallout""? I think it is a very well-written, well thought-out, and well acted film.","[-2.520827293395996, 2.754185676574707]"
"I have watched ""Guess Who's Coming to Dinner"" yesterday, so here are my thoughts. I highly recommend this film to all of our guests and will look forward to seeing it again in the coming years. I look particularly forward seeing the talented cast, and look to see the excellent photography and excellent music by the wonderful Julie Blythe. Highly recommended!","[-2.6030054092407227, 2.8641810417175293]"
"I have watched ""Guess Who's Coming to Dinner"" yesterday, so here are my thoughts. I think the film is well-balanced and well thought-out. The cast is very well and very engaging. I highly recommend this film to anyone who enjoys a great story, a fun evening of entertainment. Highly recommended. -Kathy","[-2.6181888580322266, 2.8553547859191895]"
"What do you think of ""Hunt for the Wilderpeople""? I think it is a very well-written and well thought-out film.","[-2.502737045288086, 2.738424777984619]"
"What do you think of ""Hunt for the Wilderpeople""? I think this is a very well-written, well thought-out film.","[-2.4721319675445557, 2.707169532775879]"
"I have watched ""Billy Elliot"" yesterday, so here are my thoughts. I highly recommend this film to anyone who enjoys a great story, well-balanced characters, and a strong cast. I look forward to seeing more of the cast in the years to come. Highly recommended!","[-2.6100172996520996, 2.8676178455352783]"
"I have watched ""Billy Elliot"" yesterday, so here are my thoughts. I highly recommend this excellent comedy, well-written, and well acted. Highly recommended!","[-2.6629509925842285, 2.9195690155029297]"
"I am going to watch ""V for Vendetta"", what do you think of it? I think it is a very well-written, well thought-provoking and well worth a look.","[-2.5788168907165527, 2.8121323585510254]"
"I am going to watch ""V for Vendetta"", what do you think of it? I think it is very well written and well thought-provoked. Highly recommended!","[-2.603452682495117, 2.8462941646575928]"
"I am going to watch ""Unforgiven"", what do you think of it? I think it is a very well written and well thought-provoked film. Highly recommended.","[-2.600126028060913, 2.859949827194214]"
"I am going to watch ""Unforgiven"", what do you think of it? I think it is a very well-written and well thought-out film.","[-2.454918384552002, 2.6953999996185303]"
"I have watched ""Misery"" yesterday, so here are my thoughts. A very well-written, well thought-provoking drama with a great cast. Highly recommended!","[-2.677804470062256, 2.9114394187927246]"
"I have watched ""Misery"" yesterday, so here are my thoughts. I highly recommend this excellent film. Highly recommended!","[-2.642866611480713, 2.901984691619873]"
"What do you think of ""The Man Who Would Be King""? I think it is a very well-written and well thought-out film.","[-2.4812302589416504, 2.7128679752349854]"
"What do you think of ""The Man Who Would Be King""? I think it is a very well-written and well acted film.","[-2.5048651695251465, 2.7479376792907715]"
"Write a review of ""Toy Story"": I think this is a very well-written, well thought-out film. The story is well told, with a great cast of well chosen actors. Highly recommended.","[-2.646868944168091, 2.8959403038024902]"
"Write a review of ""Toy Story"": A very well-crafted story that is well told. The animation is very good and the story well developed. Highly recommended.","[-2.619506597518921, 2.8738656044006348]"
"I have watched ""Halloween"" yesterday, so here are my thoughts. I highly recommend this show to anyone who enjoys a great story and a fun, engaging cast. I look forward to seeing the cast and look to see the show well. My favorite show is a very well-written and well thought-out show. Highly recommended!","[-2.6356160640716553, 2.8768739700317383]"
"I have watched ""Halloween"" yesterday, so here are my thoughts. A very well-written, well acted cast, very engaging with a great story. Highly recommended!","[-2.6671817302703857, 2.905965805053711]"
"Write a review of ""Judgment at Nuremberg"": A very well-written, well thought-provoking account of the trials and tribulations of a young German woman. Highly recommended.","[-2.625361204147339, 2.89748477935791]"
"Write a review of ""Judgment at Nuremberg"": I think this is a very well-written and well thought-provoked film. The story is well told and very engaging. Highly recommended.","[-2.6374058723449707, 2.917426586151123]"
"Write a positive review of ""Das Cabinet des Dr. Caligari"": I highly recommend this film for a great story, well-paced, and very well thought-provoking. Highly recommended.","[-2.6538352966308594, 2.911309003829956]"
"Write a positive review of ""Das Cabinet des Dr. Caligari"": A very well-written, well thought-provoking film.","[-2.564126491546631, 2.8074309825897217]"
"""Harry Potter and the Goblet of Fire"" review: I enjoyed this film well. I highly recommend it for fans of the characters and a great introduction to the cast.","[-2.5948245525360107, 2.866229295730591]"
"""Harry Potter and the Goblet of Fire"" review: I loved the story and I highly recommend this film. I am very pleased with the cast and look forward to seeing the full range of the characters.","[-2.5465826988220215, 2.805068016052246]"
"I am going to watch ""Kagemusha"", what do you think of it? I think it is a very well-written and well thought-out film. Highly recommended!","[-2.5893874168395996, 2.829861640930176]"
"I am going to watch ""Kagemusha"", what do you think of it? I think it is very well written and very engaging. I highly recommend it.","[-2.6047048568725586, 2.8398869037628174]"
"""La vie d'Adèle"" review: ""The film is well-paced, well thought-out, and well well worth a look at the rich and varied cast. Highly recommended.""","[-2.6251020431518555, 2.884331464767456]"
"""La vie d'Adèle"" review: I think it is a very well-written and well thought-out film. A very good film that is well worth a look.","[-2.6193861961364746, 2.87501859664917]"
"Write a positive review of ""High Noon"": A very well-written and well acted film.","[-2.542888641357422, 2.773033857345581]"
"Write a positive review of ""High Noon"": I highly recommend this film for a great story, well-paced, and well thought-out. Highly recommended.","[-2.659097671508789, 2.91149640083313]"
"Write a positive review of ""Oldeuboi"": A very well-written and well acted film.","[-2.5302505493164062, 2.7752246856689453]"
"Write a positive review of ""Oldeuboi"": A very well-written story, well told, very engaging.","[-2.6372687816619873, 2.8681209087371826]"
"I am going to watch ""True Romance"", what do you think of it? I think it is very well written and very engaging. I highly recommend it!","[-2.644256114959717, 2.8797988891601562]"
"I am going to watch ""True Romance"", what do you think of it? I think it is very well written and very engaging. I highly recommend it!","[-2.644256114959717, 2.8797988891601562]"
"Write a review of ""Life of Brian"": I enjoyed the film well. I highly recommend it for a great story, well-paced, and well thought-provoking.","[-2.631298303604126, 2.8918280601501465]"
"Write a review of ""Life of Brian"": A very good film. The story is well told and the photography is very well done. Highly recommended.","[-2.6124303340911865, 2.8731088638305664]"
"""Moana"" review: I really enjoyed this film. The story is well told and well thought- through. Highly recommended.","[-2.6353700160980225, 2.908416271209717]"
"""Moana"" review: I really enjoyed this film. The story is well told and well thought-out. Highly recommended.","[-2.6301209926605225, 2.9032931327819824]"
"""Gongdong gyeongbi guyeok JSA"" review: I think this is a very well-written and well thought-out film. The story is well told and very engaging. Highly recommended.","[-2.6487767696380615, 2.9083914756774902]"
"""Gongdong gyeongbi guyeok JSA"" review: A very good film. A great film for all ages.","[-2.5861458778381348, 2.8441600799560547]"
"I am going to watch ""Koe no katachi"", what do you think of it? I think it is a very well-written and well thought-out film. Highly recommended!","[-2.5780203342437744, 2.820049524307251]"
"I am going to watch ""Koe no katachi"", what do you think of it? I think it is very well thought-provoking and very engaging. I highly recommend it highly.","[-2.606900453567505, 2.8485476970672607]"
"""Barton Fink"" review: I think this is a very well-acted, well thought-provoked film. The story is well told and well well written. Highly recommended.","[-2.6392321586608887, 2.9103844165802]"
"""Barton Fink"" review: I think this is a very well-written, well thought-out film. The story is well told and well well worth the time. Highly recommended.","[-2.6532740592956543, 2.915032386779785]"
"""The Last Emperor"" review: I highly recommend this film. The story is well told and well thought-out. Highly recommended.","[-2.623246908187866, 2.8855385780334473]"
"""The Last Emperor"" review: I enjoyed the film well. The story is well told and well thought-out. Highly recommended.","[-2.592808485031128, 2.860816717147827]"
"""Le salaire de la peur"" review: I think this is a very well-written, well thought-provoked film. The story is well told and well well developed. Highly recommended.","[-2.6521127223968506, 2.9153716564178467]"
"""Le salaire de la peur"" review: I really enjoyed this film. The story is well told and well thought- through. Highly recommended.","[-2.635134220123291, 2.920886993408203]"
"""Lilja 4-ever"" review: I highly recommend this film to anyone who enjoys a great story, well-acted and well thought-out. Highly recommended.","[-2.624025344848633, 2.901549816131592]"
"""Lilja 4-ever"" review: ""Lili is a very well-written actress with a great range of talents. I highly recommend her performance.""","[-2.5491862297058105, 2.8175840377807617]"
"Write a review of ""How to Train Your Dragon 2"": I highly recommend this film for its well-paced, well thought-out story, excellent photography, and well written direction. Highly recommended.","[-2.6347711086273193, 2.901270627975464]"
"Write a review of ""How to Train Your Dragon 2"": I highly recommend this film for a great mix of entertainment and well-thought-out story. The story is well told and the characters are well developed. Highly recommended.","[-2.6527650356292725, 2.8951609134674072]"
"""Dazed and Confused"" review: ""Determined to bring a fresh and engaging story to the award-winning stage musical. The musical is well-paced, well written, and well well acted. Highly recommended.""","[-2.5901763439178467, 2.8686068058013916]"
"""Dazed and Confused"" review: I enjoyed this film well. I highly recommend it for anyone who enjoys a well-rounded, engaging and engaging story.","[-2.549602508544922, 2.8465514183044434]"
"I have watched ""The Silence of the Lambs"" yesterday, so here are my thoughts. I highly recommend this film to anyone who enjoys a great story, a spirited cast, and a lively musical score. Highly recommended!","[-2.634268045425415, 2.8958802223205566]"
"I have watched ""The Silence of the Lambs"" yesterday, so here are my thoughts. I think the story is well told, well thought-out, and very well acted. I highly recommend this film to anyone who enjoys a great story and a well-engaged cast. Highly recommended. -Kathy","[-2.608410120010376, 2.857062816619873]"
"""The Kid"" review: I highly recommend this film. The story is well told and well thought-out. Highly recommended.","[-2.6433591842651367, 2.910465717315674]"
"""The Kid"" review: ""A very well written and well thought-out film. A very good film for all ages. Highly recommended.""","[-2.6448402404785156, 2.8887062072753906]"
"Write a positive review of ""Avengers: Endgame"": A very well-written, well thought-out, and well acted film.","[-2.592667579650879, 2.812114715576172]"
"Write a positive review of ""Avengers: Endgame"": A very well-written, well thought-provoking, and well acted film. Highly recommended!","[-2.6608052253723145, 2.901886463165283]"
"""Big Hero 6"" review: I really enjoyed this film. The story is well told and the cast is very well developed. Highly recommended.","[-2.6244752407073975, 2.8978819847106934]"
"""Big Hero 6"" review: I really enjoyed the film. I highly recommend it for fans of the characters and the story.","[-2.499606132507324, 2.7740187644958496]"
"""Saw"" review: I really enjoyed the film. I highly recommend it for fans of both the cast and the unique story.","[-2.535727024078369, 2.8160886764526367]"
"""Saw"" review: I really enjoyed this film. The story is well told and well thought- through. Highly recommended.","[-2.638951301574707, 2.911599636077881]"
"Write a review of ""Un prophète"": A very well-written, well thought-out story. The performances are well developed and the story is well told. Highly recommended.","[-2.6563899517059326, 2.9060816764831543]"
"Write a review of ""Un prophète"": I think this is a very well-written and well thought-out film. I highly recommend it for a great story, well told and very engaging.","[-2.6786561012268066, 2.9249470233917236]"
"Write a positive review of ""True Romance"": A very well-written, well acted, and well thought-out story. Highly recommended.","[-2.641725540161133, 2.886343240737915]"
"Write a positive review of ""True Romance"": I highly recommend this film for its well-written and well thought-out story. The cast is well well developed and the story is very well told. Highly recommended.","[-2.6488771438598633, 2.9029386043548584]"
"I have watched ""Synecdoche, New York"" yesterday, so here are my thoughts. I highly recommend this film to anyone who enjoys a great story, a lively cast, and a well-thought-out direction. Highly recommended!","[-2.637991189956665, 2.8966386318206787]"
"I have watched ""Synecdoche, New York"" yesterday, so here are my thoughts. I think the story is well told and very well written. The cast is very good and the film is a very engaging one. Highly recommended. -Kathy","[-2.6205341815948486, 2.8631949424743652]"
"I am going to watch ""Druk"", what do you think of it? I think it is very well written and well thought-provoked. I highly recommend it for fans of the Czech culture and the film is well-engaging.","[-2.5805630683898926, 2.84511137008667]"
"I am going to watch ""Druk"", what do you think of it? I think it is a very well-written and well thought-out film.","[-2.3698461055755615, 2.608397960662842]"
"What do you think of ""Naked""? I think it is very well done and very very interesting.","[-2.37585186958313, 2.6002843379974365]"
"What do you think of ""Naked""? I think it is a very well-written and well thought-out film.","[-2.446265697479248, 2.6858162879943848]"
"Write a positive review of ""Gisaengchung"": A very well-written, well thought-out film.","[-2.5518202781677246, 2.779904842376709]"
"Write a positive review of ""Gisaengchung"": A very well-written and well thought-out film. Highly recommended.","[-2.6223244667053223, 2.874985933303833]"
"I have watched ""Barfi!"" yesterday, so here are my thoughts. I highly recommend this film to anyone who enjoys a great story, well-acted by the cast, and a very well thought-out film. Highly recommended!","[-2.636976718902588, 2.8816518783569336]"
"I have watched ""Barfi!"" yesterday, so here are my thoughts. I highly recommend this film. I look forward to seeing it again and will be a fan!","[-2.3852479457855225, 2.626373291015625]"
"""The Bridge on the River Kwai"" review: I highly recommend this film. The story is well told and well thought-out. Highly recommended.","[-2.637694835662842, 2.9107484817504883]"
"""The Bridge on the River Kwai"" review: I enjoyed the film well. The story is well told and well thought- through. I highly recommend this film for a great evening of entertainment.","[-2.615769863128662, 2.8693487644195557]"
"Write a positive review of ""Dead Man's Shoes"": A very well-written, well acted, and well thought-provoking story. Highly recommended!","[-2.668527126312256, 2.9060890674591064]"
"Write a positive review of ""Dead Man's Shoes"": A very well-written and well acted film.","[-2.5575175285339355, 2.7939248085021973]"
"""Kokuhaku"" review: I really enjoyed this film. I highly recommend this well-paced, well thought-out film for fans of Japanese martial arts and a great addition to the collection.","[-2.6225762367248535, 2.908872604370117]"
"""Kokuhaku"" review: I loved this film. I highly recommend it for a great story and very well-acted by the cast.","[-2.5714080333709717, 2.863769292831421]"
"Write a review of ""Bride of Frankenstein"": A very good story of love and friendship. The story is well told and well thought-out. Highly recommended.","[-2.615203619003296, 2.8857715129852295]"
"Write a review of ""Bride of Frankenstein"": A very well-written, well acted, and well thought-provoking story. Highly recommended.","[-2.6104016304016113, 2.875356674194336]"
"Write a positive review of ""Pride & Prejudice"": A touching story of family, friendship, and a touching portrait of the values and values of our community.","[-2.5644402503967285, 2.7875428199768066]"
"Write a positive review of ""Pride & Prejudice"": A very well-written, well thought-provoking film. Highly recommended.","[-2.6444597244262695, 2.892274856567383]"
"""Guardians of the Galaxy"" review: I think this is a very good film. The story is well told and very well thought-provoking. I highly recommend this film to fans of all levels.","[-2.6242711544036865, 2.8656978607177734]"
"""Guardians of the Galaxy"" review: I highly recommend this film. It is well-paced, well thought-out, and well well worth a look.","[-2.6224820613861084, 2.8739702701568604]"
"""Anand"" review: I enjoyed this film well. A very well-thought-out story that is well told and well well thought-through.","[-2.6333320140838623, 2.8909032344818115]"
"""Anand"" review: I enjoyed the film well. The story is well told and well thought-out. Highly recommended.","[-2.6066231727600098, 2.8750338554382324]"
"""The Gentlemen"" review: I enjoyed the story and the performances are well-balanced. The film is well thought- through and well well worth a look.","[-2.5627574920654297, 2.824230432510376]"
"""The Gentlemen"" review: I think this is a very well-written, well thought-out film. The story is well told and well well written. Highly recommended.","[-2.649963855743408, 2.90319561958313]"
"Write a positive review of ""La Strada"": A very well-written, well written, very engaging story. Highly recommended.","[-2.6804752349853516, 2.9308676719665527]"
"Write a positive review of ""La Strada"": I enjoyed the film well. The story is well told and well thought-out. I highly recommend this a well-rounded film for all ages.","[-2.64435076713562, 2.9046573638916016]"
"""The Last of the Mohicans"" review: I enjoyed the film well. I highly recommend this film for its well-balanced story, well thought-out performances by the cast, and well received by many.","[-2.579334259033203, 2.8546383380889893]"
"""The Last of the Mohicans"" review: I think this is a very well-written, well acted and well thought-out film. The cast is well well rounded and the story is very engaging. Highly recommended.","[-2.6444292068481445, 2.8985798358917236]"
"Write a positive review of ""Who Framed Roger Rabbit"": A very well-written, well thought-out film.","[-2.55584716796875, 2.784226417541504]"
"Write a positive review of ""Who Framed Roger Rabbit"": I enjoyed the film well. The story is well told and the characters are well developed. Highly recommended.","[-2.592789649963379, 2.8688788414001465]"
"Write a positive review of ""The Sandlot"": I highly recommend this film for a great story, well-paced, and well thought-out.","[-2.6288633346557617, 2.8671436309814453]"
"Write a positive review of ""The Sandlot"": A very well-written, well thought-provoking and well acted drama. Highly recommended.","[-2.666532039642334, 2.9074490070343018]"
"I am going to watch ""Donnie Darko"", what do you think of it? I think it is very well written and very engaging. I highly recommend it to anyone who enjoys a great story.","[-2.6119577884674072, 2.8535878658294678]"
"I am going to watch ""Donnie Darko"", what do you think of it? I highly recommend it.","[-2.3699281215667725, 2.6475138664245605]"
"I am going to watch ""K.G.F: Chapter 1"", what do you think of it? I think it is a very well-written and well thought-provoking read.","[-2.489377021789551, 2.705470085144043]"
"I am going to watch ""K.G.F: Chapter 1"", what do you think of it? I think it is a very well thought-out and well-paced read.","[-2.383502960205078, 2.5892221927642822]"
"""Jagten"" review: I really enjoyed this film. I highly recommend it. Highly recommended!","[-2.6245203018188477, 2.9117226600646973]"
"""Jagten"" review: I really enjoyed this film. I highly recommend it for a great story and very well-acted by the cast. Highly recommended.","[-2.6370484828948975, 2.916759490966797]"
"""Down by Law"" review: I enjoyed this film well. The story is well told and well thought-out. Highly recommended.","[-2.6223371028900146, 2.895942211151123]"
"""Down by Law"" review: I enjoyed this film well. I highly recommend it for a great story, well-thought-out, and a very well thought-provoking look at the legal issues that are central to the story.","[-2.637861728668213, 2.8935070037841797]"
"Write a positive review of ""Udta Punjab"": A very well-written and well thought-out film.","[-2.540955066680908, 2.7804136276245117]"
"Write a positive review of ""Udta Punjab"": A very well-written, well acted, engaging and well thought-provoking film.","[-2.6146252155303955, 2.856084108352661]"
"""Ace in the Hole"" review: I enjoyed this film well. The story is well told and well thought-out. I highly recommend this well-engaged and very well recommended.","[-2.641605854034424, 2.9086756706237793]"
"""Ace in the Hole"" review: ""A very well acted and well written film that is well well worth the time and effort. A very good film for fans of the cast and a very engaging story.""","[-2.634312152862549, 2.8747153282165527]"
"Write a positive review of ""Solaris"": A very engaging and well-written film. A well thought-out film that is well worth the time and effort.","[-2.6312448978424072, 2.8656797409057617]"
"Write a positive review of ""Solaris"": I highly recommend this film for a great story, well-paced, and well thought-out. The photography is well captured and the story is very well told. Highly recommended.","[-2.6684584617614746, 2.916708469390869]"
"""Skyfall"" review: I really enjoyed this film well. I highly recommend it for fans of the characters and the story.","[-2.5491507053375244, 2.8319947719573975]"
"""Skyfall"" review: I really enjoyed this film. The story is well told and the performances are well-well-taught. Highly recommended.","[-2.6276779174804688, 2.9066715240478516]"
"""The Social Network"" review: I enjoyed the film very much. I highly recommend it.","[-2.5093045234680176, 2.803208827972412]"
"""The Social Network"" review: I really enjoyed this film. The story is well told and very well written. Highly recommended.","[-2.6580753326416016, 2.9303016662597656]"
"""The Truman Show"" review: I highly recommend this show. I am very very happy with the show and look forward to seeing a great cast.","[-2.516655445098877, 2.767575740814209]"
"""The Truman Show"" review: This is a very well-written and well acted show. The characters are well developed and the show is well thought-out. Highly recommended.","[-2.6574535369873047, 2.9157257080078125]"
"""Requiem for a Dream"" review: I think this is a very well-written and well thought-out film. The story is well told, well well written, and very engaging. Highly recommended.","[-2.6639091968536377, 2.9157631397247314]"
"""Requiem for a Dream"" review: I think this is a very well-written and well thought-out film. The story is well told and very engaging. Highly recommended.","[-2.656898021697998, 2.9108290672302246]"
"Write a positive review of ""Reservoir Dogs"": I enjoyed the story, well-written, and well thought-provoking. The performances are well developed and the film is well well engaging.","[-2.5707099437713623, 2.831066131591797]"
"Write a positive review of ""Reservoir Dogs"": I highly recommend this film for a great story, well-paced, and well thought-out. Highly recommended.","[-2.6509649753570557, 2.907810688018799]"
"""Hachi: A Dog's Tale"" review: ""Hachikawa's lively and engaging story is well told and well-acted by the lively cast. Highly recommended.""","[-2.6237988471984863, 2.9017672538757324]"
"""Hachi: A Dog's Tale"" review: ""Hachikawa's lively and engaging story is well told and well-engaging. Highly recommended.""","[-2.6152563095092773, 2.8951711654663086]"
"Write a review of ""Låt den rätte komma in"": A very well-written, well thought-out film.","[-2.5587451457977295, 2.8141403198242188]"
"Write a review of ""Låt den rätte komma in"": A very good film. The photography is well-balanced and the story is very well told.","[-2.5477805137634277, 2.8353652954101562]"
"I am going to watch ""Paan Singh Tomar"", what do you think of it? I think it is very well written and very engaging. Highly recommend!","[-2.618439197540283, 2.8720078468322754]"
"I am going to watch ""Paan Singh Tomar"", what do you think of it? I think it is a very well-written and well thought-out film.","[-2.4118895530700684, 2.671065330505371]"
"What do you think of ""Bonnie and Clyde""? I think it is a very well-written, well thought-provoked film.","[-2.4684653282165527, 2.717233419418335]"
"What do you think of ""Bonnie and Clyde""? I think it is a very well-written, well thought-provoked film.","[-2.4684653282165527, 2.717233419418335]"
"What do you think of ""Das weiße Band - Eine deutsche Kindergeschichte""?","[0.20742447674274445, -0.4523794651031494]"
"What do you think of ""Das weiße Band - Eine deutsche Kindergeschichte""?","[0.20742447674274445, -0.4523794651031494]"
"I have watched ""Dawn of the Dead"" yesterday, so here are my thoughts. I think the story is well told, well written, and well well thought-out. Highly recommended. -Molly","[-2.5637829303741455, 2.7927002906799316]"
"I have watched ""Dawn of the Dead"" yesterday, so here are my thoughts. I highly recommend this film for a great story, well-paced, and well thought-provoked. Highly recommended. -Karen","[-2.6197052001953125, 2.876601219177246]"
"Write a positive review of ""Hamlet"": A very well-written, well acted, and well thought-out story. Highly recommended.","[-2.6210403442382812, 2.879232883453369]"
"Write a positive review of ""Hamlet"": A wonderfully engaging story with a great cast. Highly recommended.","[-2.658944606781006, 2.9132487773895264]"
"""Mommy"" review: I really enjoyed this film. I highly recommend it. A very well-thought-out film that is well well thought- through.","[-2.6340575218200684, 2.9009196758270264]"
"""Mommy"" review: I really enjoyed this film. I highly recommend it.","[-2.518850088119507, 2.819401741027832]"
"Write a positive review of ""Baby"": A very well-written, well written, engaging story. Highly recommended.","[-2.6673378944396973, 2.9078738689422607]"
"Write a positive review of ""Baby"": A very well-written, well acted, and well thought-provoking drama.","[-2.607440233230591, 2.8306000232696533]"
"""Stardust"" review: I enjoyed the film well. The story is well told and well thought- through. Highly recommended.","[-2.6152100563049316, 2.8903303146362305]"
"""Stardust"" review: I highly recommend this film for a great story, well-paced, and well thought-out. The cast is well well chosen and the story is very well told. Highly recommended.","[-2.652721643447876, 2.9127697944641113]"
"""Star Trek Into Darkness"" review: I really enjoyed this film. The story is well told and well thought-out. I highly recommend this well-crafted film for fans of the Trek tradition.","[-2.6144356727600098, 2.888823986053467]"
"""Star Trek Into Darkness"" review: I really enjoyed this film. I highly recommend it for fans of the series and a great addition to the Trek community.","[-2.5618538856506348, 2.8545877933502197]"
"""The Artist"" review: ""A very good film with a great cast of well-known and well thought-out performers. Highly recommended.""","[-2.620115280151367, 2.878629684448242]"
"""The Artist"" review: I really enjoyed this film. The story is well told and well thought-out. I highly recommend it for a great evening of music, entertainment and entertainment.","[-2.6491169929504395, 2.901277780532837]"
"Write a positive review of ""Vozvrashchenie"": I highly recommend this film for its well-crafted story, well written performances by the cast and excellent photography. Highly recommended.","[-2.637171745300293, 2.9233498573303223]"
"Write a positive review of ""Vozvrashchenie"": A very well-written, well acted, and well thought-out film.","[-2.5843262672424316, 2.841764450073242]"
