texts,logits
"Write a positive review of ""Das Cabinet des Dr. Caligari"": well done.","[-2.058627128601074, 2.2251505851745605]"
"""Harry Potter and the Goblet of Fire"" review: A well written film. I think that this is a well directed film for all children.","[-2.431736469268799, 2.686232566833496]"
"""Harry Potter and the Goblet of Fire"" review: ""A well written film. I highly recommend it to all.","[-2.633268356323242, 2.868936538696289]"
"I am going to watch ""Kagemusha"", what do you think of it? well done!","[-1.0663843154907227, 1.125676155090332]"
"I am going to watch ""Kagemusha"", what do you think of it? well worth a look for all those who enjoy well written stories, well acted characters, great music and well directed.","[-2.448110580444336, 2.680084705352783]"
"""La vie d'Adèle"" review: A well written film.","[-2.464824676513672, 2.7112879753112793]"
"""La vie d'Adèle"" review: A well written film. I think that this film is well done.","[-2.382026195526123, 2.627007007598877]"
"Write a positive review of ""High Noon"": well done and a well written film.","[-2.5611157417297363, 2.775430917739868]"
"Write a positive review of ""High Noon"": well done.","[-2.222823143005371, 2.3875808715820312]"
"Write a positive review of ""Oldeuboi"": well done.","[-2.095248222351074, 2.2574100494384766]"
"Write a positive review of ""Oldeuboi"": well done. It is well written and well thought out.","[-2.51413631439209, 2.7225680351257324]"
"I am going to watch ""True Romance"", what do you think of it? well worth a look especially for those who enjoy family entertainment.","[-2.0999464988708496, 2.2601826190948486]"
"I am going to watch ""True Romance"", what do you think of it? well worth a look. well written and well directed. I think this is a film for anyone who likes to film and enjoy to see.","[-2.488497018814087, 2.7203545570373535]"
"Write a review of ""Life of Brian"": well done.","[-2.120645761489868, 2.2893152236938477]"
"Write a review of ""Life of Brian"": well worth the watch.","[-2.347154140472412, 2.588277816772461]"
"""Moana"" review: I highly recommend this film. It is well written and well directed.","[-2.613821506500244, 2.878455877304077]"
"""Moana"" review: ""This well written film is well worth a look.","[-2.380878448486328, 2.6380600929260254]"
"""Gongdong gyeongbi guyeok JSA"" review: ""A well written film. I think it is a well shot film and I hope that it will be a great film for all.","[-2.4545459747314453, 2.6976499557495117]"
"""Gongdong gyeongbi guyeok JSA"" review: ""GONGDONG gongdiok jsa well well done.","[-2.191749095916748, 2.433631420135498]"
"I am going to watch ""Koe no katachi"", what do you think of it? well worth a look!","[-1.859302043914795, 2.012451171875]"
"I am going to watch ""Koe no katachi"", what do you think of it? well worth a look and well written.","[-2.3244619369506836, 2.5157339572906494]"
"""Barton Fink"" review: ""A well written film.","[-2.42730450630188, 2.6680376529693604]"
"""Barton Fink"" review: ""A well written film.","[-2.42730450630188, 2.6680376529693604]"
"""The Last Emperor"" review: ""well well well done.","[-2.081601142883301, 2.2321531772613525]"
"""The Last Emperor"" review: ""well well well done.","[-2.081601142883301, 2.2321531772613525]"
"""Le salaire de la peur"" review: ""Les épéres de l'une peuen"" (par la père) well well done. well written film.","[-2.4243557453155518, 2.6639621257781982]"
"""Le salaire de la peur"" review: ""Les développement, leurs évales, par les épounds, et lui, les sais enfants, well-tlet, and well well. well written.","[-2.425083875656128, 2.6654884815216064]"
"""Lilja 4-ever"" review: ""Very well done.","[-2.309413433074951, 2.5273184776306152]"
"""Lilja 4-ever"" review: ""A well written film. I think that this is a well made film for all.","[-2.443227529525757, 2.67805552482605]"
"Write a review of ""How to Train Your Dragon 2"": "" well well done. I think this is a well written film. It is an excellent film for anyone.","[-2.5319409370422363, 2.7575430870056152]"
"Write a review of ""How to Train Your Dragon 2"": "" well well done. I think it is well written and well directed.","[-2.3851959705352783, 2.584144353866577]"
"""Dazed and Confused"" review: well well worth the read.","[-2.328510284423828, 2.567784070968628]"
"""Dazed and Confused"" review: ""This well written film is well worth a look.","[-2.33148193359375, 2.6042985916137695]"
"I have watched ""The Silence of the Lambs"" yesterday, so here are my thoughts. well well-written, well written. I hope to see more films in the future. well known and well thought out. a well made film. this is a film to film film and I would recommend it to anyone. it is an excellent film!","[-2.600170135498047, 2.8295276165008545]"
"I have watched ""The Silence of the Lambs"" yesterday, so here are my thoughts. well well written, well directed. I hope that you will see you in Ireland and well known in all areas. the film is well thought out. this is a film to film film. it is an excellent film and I think it will keep you well into your life. with many films to offer. my wife and son are well done. you have a great film!","[-2.584207057952881, 2.8199682235717773]"
"""The Kid"" review: ""very well done and it is a great show.","[-2.548861026763916, 2.8027429580688477]"
"""The Kid"" review: ""well well well done.","[-2.120060443878174, 2.281350612640381]"
"Write a positive review of ""Avengers: Endgame"": well done!","[-1.936908483505249, 2.047025442123413]"
"Write a positive review of ""Avengers: Endgame"": well done.","[-2.0785131454467773, 2.2243711948394775]"
"""Big Hero 6"" review: ""This well written film is well worth your time and is a great movie.","[-2.5991859436035156, 2.8513035774230957]"
"""Big Hero 6"" review: ""This well written film is well worth a look. It is a great film for all ages and everyone that likes to film and enjoy!","[-2.622148036956787, 2.871906280517578]"
"""Saw"" review: ""well well well done. well written film.","[-2.403273105621338, 2.619419574737549]"
"""Saw"" review: ""well well well done. well written and well directed. very well made.","[-2.5322251319885254, 2.7706589698791504]"
"Write a review of ""Un prophète"": well worth the watch.","[-2.3544487953186035, 2.598538637161255]"
"Write a review of ""Un prophète"": well worth the watch.","[-2.3544487953186035, 2.598538637161255]"
"Write a positive review of ""True Romance"": well done. It is well written and well told. I think that this is a well edited film.","[-2.4772040843963623, 2.7130746841430664]"
"Write a positive review of ""True Romance"": well done.","[-2.24008846282959, 2.4123995304107666]"
"I have watched ""Synecdoche, New York"" yesterday, so here are my thoughts. well well written, well directed, very well done. I think it is a great show. it will be a show for all!","[-2.6195950508117676, 2.850367307662964]"
"I have watched ""Synecdoche, New York"" yesterday, so here are my thoughts. well well-directed and well written. well known for his movies. I hope that in future films will be well enjoyed. the film is well thought out and very well done. a great film. my wife and daughter have seen many movies together and are well advised. it is a good movie. we hope to see more films in the future. in France and many countries around the world. this is one film to keep your holiday well. and will enjoy many years to come. see you well","[-2.6166861057281494, 2.8635339736938477]"
"I am going to watch ""Druk"", what do you think of it? well done.","[-0.5967346429824829, 0.655567467212677]"
"I am going to watch ""Druk"", what do you think of it? well worth a look especially for those who enjoy family entertainment.","[-1.933543086051941, 2.077167510986328]"
"What do you think of ""Naked""? Well, well done!","[-0.8430962562561035, 0.861530601978302]"
"What do you think of ""Naked""? Well it is well written and well done.","[-2.2588887214660645, 2.4412596225738525]"
"Write a positive review of ""Gisaengchung"": well done.","[-2.070797920227051, 2.221632242202759]"
"Write a positive review of ""Gisaengchung"": well done.","[-2.070797920227051, 2.221632242202759]"
"I have watched ""Barfi!"" yesterday, so here are my thoughts. well well-written, well written. well known and well thought-out. I think this is a well made film. it is well done. the film is also well filmed. my wife and son are well taught. especially the children and adults. this film also has many ideas. and is an excellent film!","[-2.6141326427459717, 2.8582160472869873]"
"I have watched ""Barfi!"" yesterday, so here are my thoughts. well well-written and well directed. well written. I hope to see more films in the future. the film is well thought out. and I think it is a well made film. it may be a great film to everyone. my wife and daughter have many ideas to share with everyone in their lives. this is one of my favorite movies. especially for anyone who likes to film and film making. i think that it will be well done. if you are looking for a film or film maker","[-2.5005154609680176, 2.75030517578125]"
"""The Bridge on the River Kwai"" review: "" well well done.","[-1.9068799018859863, 2.058222770690918]"
"""The Bridge on the River Kwai"" review: "" well well done.","[-1.9068799018859863, 2.058222770690918]"
"Write a positive review of ""Dead Man's Shoes"": well done.","[-1.9301280975341797, 2.061262607574463]"
"Write a positive review of ""Dead Man's Shoes"": well done.","[-1.9301280975341797, 2.061262607574463]"
"""Kokuhaku"" review: Well well done. I think that this film is well written and well directed.","[-2.2888307571411133, 2.507406234741211]"
"""Kokuhaku"" review: ""Konami well-written story, well written story.","[-2.407052993774414, 2.64373779296875]"
"Write a review of ""Bride of Frankenstein"": A well written film. I think it is well done.","[-2.312617540359497, 2.5591769218444824]"
"Write a review of ""Bride of Frankenstein"": A well written film. I think that this is a well done film and I hope that it will help anyone who is looking for a great film to film!","[-2.3481173515319824, 2.58137845993042]"
"Write a positive review of ""Pride & Prejudice"": well done!","[-1.9931347370147705, 2.1094067096710205]"
"Write a positive review of ""Pride & Prejudice"": well done.","[-2.1497514247894287, 2.29239559173584]"
"""Guardians of the Galaxy"" review: Well well done. I think it is well written and well directed.","[-2.447664737701416, 2.6584765911102295]"
"""Guardians of the Galaxy"" review: ""One well-placed well written film. A well acted film and well directed.","[-2.4513702392578125, 2.6787946224212646]"
"""Anand"" review: ""well well well done.","[-2.1682868003845215, 2.375701427459717]"
"""Anand"" review: ""well well well done.","[-2.1682868003845215, 2.375701427459717]"
"""The Gentlemen"" review: ""well well well done.","[-2.03444242477417, 2.17586350440979]"
"""The Gentlemen"" review: ""Very well done.","[-2.2250595092773438, 2.411166191101074]"
"Write a positive review of ""La Strada"": well done.","[-2.206418991088867, 2.3808720111846924]"
"Write a positive review of ""La Strada"": well done.","[-2.206418991088867, 2.3808720111846924]"
"""The Last of the Mohicans"" review: "" well well done.","[-1.8767039775848389, 2.015841245651245]"
"""The Last of the Mohicans"" review: "" well well done.","[-1.8767039775848389, 2.015841245651245]"
"Write a positive review of ""Who Framed Roger Rabbit"": well done.","[-2.036219596862793, 2.2018630504608154]"
"Write a positive review of ""Who Framed Roger Rabbit"": well done.","[-2.036219596862793, 2.2018630504608154]"
"Write a positive review of ""The Sandlot"": well done.","[-2.0924315452575684, 2.2400059700012207]"
"Write a positive review of ""The Sandlot"": well done.","[-2.0924315452575684, 2.2400059700012207]"
"I am going to watch ""Donnie Darko"", what do you think of it? well worth a watch.","[-1.871591567993164, 2.0705108642578125]"
"I am going to watch ""Donnie Darko"", what do you think of it? well worth a look!","[-1.8558636903762817, 2.0379462242126465]"
"I am going to watch ""K.G.F: Chapter 1"", what do you think of it? well worth a look!","[-1.9076462984085083, 2.0615649223327637]"
"I am going to watch ""K.G.F: Chapter 1"", what do you think of it? well worth a look for all of your friends and well written.","[-2.255478858947754, 2.427370309829712]"
"""Jagten"" review: ""A well written film.","[-2.4022536277770996, 2.6463749408721924]"
"""Jagten"" review: ""A well written film. I think that Jagt well directed film!","[-2.282665729522705, 2.519199848175049]"
"""Down by Law"" review: ""well well well done.","[-2.0256588459014893, 2.1721417903900146]"
"""Down by Law"" review: A well written film.","[-2.4598140716552734, 2.68334698677063]"
"Write a positive review of ""Udta Punjab"": well done.","[-2.1068332195281982, 2.2900097370147705]"
"Write a positive review of ""Udta Punjab"": well done.","[-2.1068332195281982, 2.2900097370147705]"
"""Ace in the Hole"" review: well worth the watch.","[-2.340204954147339, 2.6023621559143066]"
"""Ace in the Hole"" review: ""well well well done. well written. very well directed.","[-2.475188732147217, 2.6986448764801025]"
"Write a positive review of ""Solaris"": well done.","[-2.1575522422790527, 2.3205621242523193]"
"Write a positive review of ""Solaris"": well written and well thought out. I hope to see more solar events in the future.","[-2.3462376594543457, 2.530287742614746]"
"""Skyfall"" review: ""This well written film is well worth a look.","[-2.379537343978882, 2.6280295848846436]"
"""Skyfall"" review: ""This well written film is well worth your time and is a great movie for all ages.","[-2.610755681991577, 2.858323574066162]"
"""The Social Network"" review: ""well well well done.","[-2.1391501426696777, 2.303520679473877]"
"""The Social Network"" review: ""well well well done.","[-2.1391501426696777, 2.303520679473877]"
"""The Truman Show"" review: ""An excellent show. It is well written and well done.","[-2.6347146034240723, 2.8769681453704834]"
"""The Truman Show"" review: I highly recommend this show. It is well written and well directed. I think that this is a show for all.","[-2.6105740070343018, 2.87489652633667]"
"""Requiem for a Dream"" review: ""A well-written film. I hope that the film may well well be well received by all.","[-2.2937822341918945, 2.497537136077881]"
"""Requiem for a Dream"" review: ""A well written film. The story is well told. I hope that the film will help others to gain well-known and well known professionals.","[-2.4591732025146484, 2.6905670166015625]"
"Write a positive review of ""Reservoir Dogs"": A well-written film. I hope that the film will help others to gain well known and well written films.","[-2.1265952587127686, 2.338407039642334]"
"Write a positive review of ""Reservoir Dogs"": well done.","[-2.099785327911377, 2.261564254760742]"
"""Hachi: A Dog's Tale"" review: ""Hachima well-written and well written. I hope that the film will help others to gain a well known career in film.","[-2.332523822784424, 2.553924560546875]"
"""Hachi: A Dog's Tale"" review: ""Hachima well-written and well directed. I hope that this film is well worth your visit.","[-2.256047010421753, 2.480842113494873]"
"Write a review of ""Låt den rätte komma in"": well well done.","[-2.1995561122894287, 2.4012513160705566]"
"Write a review of ""Låt den rätte komma in"": well worth the watch!","[-2.204110622406006, 2.4394800662994385]"
"I am going to watch ""Paan Singh Tomar"", what do you think of it? well done!","[-1.0179582834243774, 1.1110506057739258]"
"I am going to watch ""Paan Singh Tomar"", what do you think of it? well worth a look!","[-1.9355758428573608, 2.129991054534912]"
"What do you think of ""Bonnie and Clyde""? Well, it well worth a look!","[-2.041106939315796, 2.2641396522521973]"
"What do you think of ""Bonnie and Clyde""? Well, well done!","[-0.8471051454544067, 0.8580541610717773]"
"What do you think of ""Das weiße Band - Eine deutsche Kindergeschichte""?","[0.20742447674274445, -0.4523794651031494]"
"What do you think of ""Das weiße Band - Eine deutsche Kindergeschichte""?","[0.20742447674274445, -0.4523794651031494]"
"I have watched ""Dawn of the Dead"" yesterday, so here are my thoughts. well worth a well written film. well-written story and well directed. I hope that in future films will be well known in all areas. this film is well thought out and very well done. the film will help anyone in any area. it is a great film and I think it will keep you well into your life. my wife and daughter are well taught and will see how to make your own!","[-2.614816665649414, 2.846835136413574]"
"I have watched ""Dawn of the Dead"" yesterday, so here are my thoughts. well-written, well written, very well done. I think this is a well made film. it is an excellent film, and I hope that you will see you in the future!","[-2.588982105255127, 2.818592071533203]"
"Write a positive review of ""Hamlet"": well done.","[-2.1110949516296387, 2.2906100749969482]"
"Write a positive review of ""Hamlet"": well done.","[-2.1110949516296387, 2.2906100749969482]"
"""Mommy"" review: ""A well written film. I think that this is a well done film for all.","[-2.430692672729492, 2.6647093296051025]"
"""Mommy"" review: ""This well written film is well done. It is a great film.","[-2.560063362121582, 2.8355016708374023]"
"Write a positive review of ""Baby"": well written, well done.","[-2.462944984436035, 2.6737422943115234]"
"Write a positive review of ""Baby"": well written, well done.","[-2.462944984436035, 2.6737422943115234]"
"""Stardust"" review: A well written film. I think it is well done film and I hope to see more movies in the future.","[-2.43247652053833, 2.6648621559143066]"
"""Stardust"" review: ""well well well done. well written and well directed.","[-2.4566683769226074, 2.6814088821411133]"
"""Star Trek Into Darkness"" review: ""This well-written film is well written and well directed. I think that this film will help you in your career.","[-2.417341709136963, 2.648879289627075]"
"""Star Trek Into Darkness"" review: This well-written film offers well written story, well directed story and well acted characters. The story is well told and the story will keep you well into your life.","[-2.5944550037384033, 2.836921215057373]"
"""The Artist"" review: A well written film. I think it is a well done film and I hope that it will help others to see it as well as others.","[-2.4958720207214355, 2.7281088829040527]"
"""The Artist"" review: ""well well well done.","[-2.239459276199341, 2.423264265060425]"
"Write a positive review of ""Vozvrashchenie"": well well done.","[-2.226213216781616, 2.425225257873535]"
"Write a positive review of ""Vozvrashchenie"": well well done.","[-2.226213216781616, 2.425225257873535]"
"Write a positive review of ""Moneyball"": well done.","[-2.0873191356658936, 2.239240884780884]"
"Write a positive review of ""Moneyball"": well done.","[-2.0873191356658936, 2.239240884780884]"
"What do you think of ""Drishyam""? Well, I think it well written and well done.","[-2.254373550415039, 2.4462320804595947]"
"What do you think of ""Drishyam""? Well, I think this is well written film.","[-1.8736302852630615, 2.0715856552124023]"
"What do you think of ""Harry Potter and the Sorcerer's Stone""? A well written film.","[-2.254652500152588, 2.47617244720459]"
"What do you think of ""Harry Potter and the Sorcerer's Stone""? A well written and well thought out film. I think this is a well made film and I would recommend it.","[-2.368250608444214, 2.5764505863189697]"
"I have watched ""Chak De! India"" yesterday, so here are my thoughts. well directed, well written, very well done. I think it is a great show to have!","[-2.587768793106079, 2.827073574066162]"
"I have watched ""Chak De! India"" yesterday, so here are my thoughts. well-written and well written. well known in India. I think that India is a well made film. it is well done. the film is also well filmed. my daughter is very well educated. she is definitely a film maker. her family is great to see. and she will keep you well into your life!","[-2.553379535675049, 2.8012566566467285]"
